class	vtable	base_classes	slot_count
vtable_008d45b0	0x008d45b0		6
vtable_008d45d0	0x008d45d0		18
vtable_008d4620	0x008d4620		9
ZTItemFilter	0x008d46a0		23
ZTLoadListener	0x008d4758		33
BFLoadListener	0x008d47e0		31
ZTLocationEntry	0x008d4890		23
ZTLocationMgr	0x008d4908		23
ZTMapData	0x008d4980		25
vtable_008d4a1c	0x008d4a1c		20
ZTPathBase	0x008d4d9c		25
vtable_008d4e0c	0x008d4e0c		18
vtable_008d4e58	0x008d4e58		6
vtable_008d4ea8	0x008d4ea8		23
ZTPlacementData	0x008d4f18		23
vtable_008d5014	0x008d5014		11
vtable_008d5044	0x008d5044		11
vtable_008d5080	0x008d5080		6
vtable_008d50a0	0x008d50a0		14
vtable_008d50ec	0x008d50ec		7
vtable_008d5128	0x008d5128		6
vtable_008d5148	0x008d5148		18
vtable_008d5198	0x008d5198		9
ZTResearchItem	0x008d52c0		21
ZTResearchItem	0x008d5314		4
ZTResearchMgr	0x008d5378		31
BFScriptComponent	0x008d53f8		21
ZTSimController	0x008d5490		23
ZTSpawnEntityComponent	0x008d54ec		7
ZTSpawnEntityComponent	0x008d55c8		21
ZTStarsDisplay	0x008d561c		4
ZTStarsDisplay	0x008d5680		25
ZTStatus	0x008d5b10		49
ZTFameData	0x008d5bdc		5
ZTFameData	0x008d5bf0		14
ZTAdmissionData	0x008d5c28		19
BFUIntEvent	0x008d5c78		31
BFStringTokenEvent	0x008d5d00		33
BFStringFloatObj	0x008d5d84		13
ZTSunLayer	0x008d5e58		27
ZTToolMgr	0x008d62d0		21
ZTToolMgr	0x008d6324		4
BFXMLObj	0x008d68c8		13
ZTTrickButtonMgr	0x008d6900		25
ZTTriggeredEventsComponent	0x008d6980		25
ZTUnderwaterFloatGroundFitComponent	0x008d6a08		43
ZTUserCameraData	0x008d6b10		23
ZTUserStaffAction	0x008d6ca0		25
BFComponentPointerVector	0x008d6d04		13
ZTWetsuitComponent	0x008d6df0		25
ZTWitheredPlantComponent	0x008d6ea8		25
ZTWorldMgr	0x008d7000		43
vtable_008d70b4	0x008d70b4		6
ZTZooMessageData	0x008d70cc		13
ZTPlacementInfo	0x008d7100		21
vtable_008d7160	0x008d7160		4
vtable_008d71a0	0x008d71a0		15
vtable_008d71f0	0x008d71f0		4
vtable_008d7204	0x008d7204		7
vtable_008d7260	0x008d7260		6
vtable_008d72a0	0x008d72a0		4
vtable_008d7300	0x008d7300		4
vtable_008d7328	0x008d7328		6
vtable_008d7348	0x008d7348		11
vtable_008d7390	0x008d7390		9
vtable_008d73d8	0x008d73d8		4
ZTWorldSndMgr	0x008d7658		22
vtable_008d76bc	0x008d76bc		9
ZTElevatedTriangleGraphic	0x008d7828		58
ZTPathElevated	0x008d7d00		28
ZTTourData	0x008d8040		21
ZTTourDataAttr	0x008d8098		21
ZTTourRecorderData	0x008d80f0		21
vtable_008d8154	0x008d8154		26
vtable_008d8220	0x008d8220		19
vtable_008d8270	0x008d8270		4
BFGTransportationMgr	0x008d82b0		24
ZTTransportationMgr	0x008d8310		24
ZTTransportCircuitBase	0x008d83c0		49
vtable_008d8498	0x008d8498		22
ZTTransportCrossingGate	0x008d8528		27
ZTTransportGroundCircuit	0x008d85d8		46
ZTTransportGroundTrack	0x008d8978		43
ZTTransportGroundTrackTextureData	0x008d8a28		21
vtable_008d8a8c	0x008d8a8c		24
ZTTransportSkyCircuit	0x008d8b28		33
vtable_008d8bb0	0x008d8bb0		12
vtable_008d8de8	0x008d8de8		18
vtable_008d8e34	0x008d8e34		6
vtable_008d8e50	0x008d8e50		18
ZTTransportStationBase	0x008d9058		26
ZTTransportStationGround	0x008d90f0		28
ZTTransportStationSky	0x008d91f8		28
ZTTransportTrack	0x008d92b8		43
ZTTransportVehicleGate	0x008d9390		24
ZTViewableSubMgr	0x008d9424		24
ZTTransportViewable	0x008d9488		28
vtable_008d94fc	0x008d94fc		5
vtable_008d9740	0x008d9740		22
vtable_008d979c	0x008d979c		13
vtable_008d99dc	0x008d99dc		5
ZTVehicleGround	0x008d99f0		39
vtable_008d9afc	0x008d9afc		5
ZTVehicleSky	0x008d9b10		21
vtable_008d9b68	0x008d9b68		16
BFGViewableObjectMgr	0x008d9bf8		26
ZTViewableObjectMgr	0x008d9c60		37
ZTViewableSubMgrStation	0x008d9d20		29
BFShadowComponent	0x008d9e68		37
BFMovingBlobShadowComponent	0x008d9f00		41
BFStaticBlobShadowComponent	0x008d9fd0		39
BFTerrainShadowComponent	0x008da090		127
ZTTankGateSegment	0x008da344		20
ZTTankGateSegment	0x008da394		9
ZTTankGateSegment	0x008da40c		52
vtable_008da574	0x008da574		20
BFGTraversabilityMgr	0x008da5d0		15
BFFloatVector	0x008da60c		13
vtable_008da68c	0x008da68c		24
ZTTankSegment	0x008da850		58
ZTTankSupport	0x008da950		21
ZTTankSupport	0x008da9a4		4
vtable_008daa1c	0x008daa1c		6
vtable_008daa58	0x008daa58		9
ZTCloningCenterComponent	0x008dabd0		23
ZTCloningCenterInstanceComponent	0x008dac34		26
ZTDiseaseMgr	0x008daf38		28
BFAIFadeHoldData	0x008db0dc		13
ZTFossilSkeletonComponent	0x008db110		25
ZTPuzzle	0x008db270		23
ZTPuzzlePiece	0x008db2d0		28
ZTPuzzleMgr	0x008db518		29
ZTAnimalAttributeFilter	0x008db5c0		16
ZTAnimalProximityFilter	0x008db63c		4
vtable_008db650	0x008db650		12
ZTEntityTypePredicate	0x008db6b4		15
vtable_008db74c	0x008db74c		15
vtable_008db7b0	0x008db7b0		15
ZTZooFamePredicate	0x008db810		16
vtable_008db8c0	0x008db8c0		23
vtable_008dba20	0x008dba20		18
vtable_008dba98	0x008dba98		23
vtable_008dc0cc	0x008dc0cc		26
BFXMLObj	0x008dc134		13
BFXMLObj	0x008dc168		15
ZTShowTimerManager	0x008dc228		35
vtable_008dc4ec	0x008dc4ec		10
vtable_008dc518	0x008dc518		4
vtable_008dc52c	0x008dc52c		4
vtable_008dc540	0x008dc540		4
vtable_008dc58c	0x008dc58c		11
vtable_008dc5cc	0x008dc5cc		16
ZTApp	0x008dc610		47
vtable_008dc6d0	0x008dc6d0		22
ZTAwardMgr	0x008dc780		22
vtable_008dc800	0x008dc800		21
vtable_008e0194	0x008e0194		6
ZTScenarioMgr	0x008e07f8		45
ZTTankCommandReader	0x008e09c8		36
vtable_008e0a60	0x008e0a60		14
vtable_008e0aac	0x008e0aac		7
vtable_008e0ae8	0x008e0ae8		6
vtable_008e0b08	0x008e0b08		18
